net,length_um
ram_data_in\[8\],538.85
_103_,536.12
_101_,534.83
funct7\[6\],531.7
_099_,531.18
_100_,530.575
register_data_in\[21\],528.22
register_data_in\[6\],524.46
alu_data_out\[12\],522.63
clknet_0_clk,520.3
register_data_in\[18\],519.58
register_data_in\[25\],518.76
funct7\[4\],516.92
_062_,513.68
databus\[1\],513.27
opcode\[3\],512.88
register_data_in\[30\],512.55
register_data_in\[11\],511.19
alu_data_out\[21\],509.52
br_mux_inv,508.74
immediateS\[2\],504.35
opcode\[2\],496.19
_078_,494.82
alu_data_out\[15\],492.49
_026_,490.01
_063_,487.58
alu_data_out\[30\],479.99
_007_,471.48
_050_,468.54
register_data_in\[20\],467.95
_089_,467.02
_077_,464.94
ram_data_out\[28\],458.48
_088_,458.28
_081_,456.66
funct7\[2\],450.48
_043_,445.325
_068_,441.94
immediateI\[6\],440.57
alu_data_in2\[0\],437.29
alu_data_in2\[19\],426.49
_065_,421.74
immediateI\[10\],421.44
alu_data_in2\[12\],418.29
alu_data_in2\[22\],416.59
pc_addition\[10\],414.57
immediateB\[2\],412.13
alu_data_in2\[8\],407.32
opcode\[0\],406.98
alu_control\[3\],406.62
pc_addition\[3\],405.18
_073_,404.5
register_data_in\[2\],401.98
_079_,400.84
clknet_1_1__leaf_clk,400.02
immediateS\[8\],396.33
immediateS\[10\],393.34
funct3\[1\],392.38
pc_addition\[9\],389.5
alu_data_in2\[4\],389.23
net35,385.34
alu_data_out\[8\],382.71
databus\[0\],382.1
alu_data_out\[9\],381.69
immediateB\[6\],381.68
alu_data_in2\[28\],380.79
net45,379.76
_087_,375.82
immediateS\[9\],374.4
alu_data_in2\[21\],372.95
register_data_in\[1\],367.06
_074_,364.98
immediateB\[3\],361.43
alu_data_in2\[29\],361
immediateB\[5\],360.33
pc_addition\[6\],354.98
immediateS\[0\],351.67
alu_control\[1\],351.07
alu_data_out\[14\],350.21
immediateI\[11\],350
alu_data_out\[26\],349.35
_058_,348.82
immediateS\[4\],348.175
alu_data_in2\[23\],345.11
alu_data_out\[16\],341.74
alu_data_in2\[25\],339.53
_048_,338.6
pc_addition\[5\],329.95
_098_,325.54
alu_data_in2\[20\],324.11
alu_control\[2\],322.58
net41,322.51
_040_,320.74
alu_data_in2\[1\],318.19
immediateB\[0\],318.16
alu_data_in2\[27\],317.01
_086_,310.06
ram_data_out\[31\],299.71
_118_,298.62
alu_data_out\[31\],293.34
immediateS\[7\],293.04
_070_,292.52
alu_data_out\[20\],288.78
_069_,285.02
alu_data_out\[23\],282.22
_072_,281.88
alu_data_in2\[11\],281.55
alu_data_in2\[18\],280.66
immediateB\[7\],278.81
alu_data_in2\[13\],276.91
_059_,273.78
_018_,270.84
pc_addition\[7\],268.16
pc_addition\[11\],268.08
opcode\[1\],266.36
immediateI\[8\],265.62
register_data_in\[7\],265.31
immediateB\[9\],265.25
_029_,264.08
alu_data_in2\[6\],263.19
alu_data_in2\[16\],262.97
immediateI\[1\],259.44
_039_,258.7
_034_,256.26
immediateS\[1\],248.93
alu_data_in2\[17\],248.91
_021_,247.98
immediateS\[6\],242.8
_041_,234.515
alu_data_in2\[24\],234.44
alu_data_in2\[31\],230.69
register_data_in\[3\],230.29
_010_,230.18
_104_,227.76
_080_,227.1
_093_,226.98
_015_,226.22
br_enable,225.45
_016_,223.28
ram_data_in\[9\],222.35
register_data_in\[4\],221.11
_003_,219.34
_054_,219.27
_020_,219.2
opcode\[4\],216.05
alu_data_in2\[7\],214.67
_083_,212.08
_038_,208.32
_082_,206.9
ram_data_in\[24\],204.54
funct7\[0\],203.44
_022_,197.2
_042_,194.64
_108_,194.36
immediateB\[8\],192.48
immediateS\[5\],191.95
_095_,189.86
pc_addition\[1\],189.8
_096_,187.68
alu_data_in2\[2\],186.37
_116_,185.2
pc_addition\[2\],185.19
_066_,184.45
ram_data_in\[16\],181.64
_055_,180.92
alu_data_in2\[14\],180.36
_111_,180
ram_data_in\[11\],179.51
alu_data_in2\[15\],177.62
_049_,177.51
alu_data_in2\[30\],177.47
_112_,175.92
_113_,171.06
alu_data_in2\[5\],168.63
ram_data_in\[30\],164.57
ram_data_in\[17\],164.45
_091_,163.86
ram_data_out\[29\],161.24
immediateI\[5\],160.27
_044_,160.06
_053_,158.6
ram_data_in\[29\],157.97
pc_addition\[8\],155.9
immediateB\[1\],154.32
_105_,152.38
ram_data_out\[23\],150.91
_060_,150.66
ram_data_in\[21\],145.46
_085_,144.98
_046_,142.12
_067_,137.88
ram_data_out\[0\],137.54
register_data_in\[0\],135.75
pc_addition\[4\],134.73
_012_,131.5
immediateS\[3\],131.39
_102_,131.36
ram_data_in\[18\],131.23
alu_control\[0\],126.39
_092_,126.32
_106_,122.96
_005_,122.62
_109_,119.8
immediateI\[3\],118.59
_094_,118.04
_107_,117.78
_097_,116.94
_061_,115.5
ram_data_out\[2\],114.92
_090_,113.84
_110_,113.78
_052_,101.22
_076_,99.82
_114_,94.96
ram_data_in\[19\],94.95
pc_addition\[0\],89.63
_084_,89.02
_051_,85.16
_117_,84.38
_115_,80.86
_057_,77.48
alu_data_in2\[26\],76.54
immediateB\[4\],76.13
_045_,75.32
immediateB\[10\],74.77
immediateI\[7\],74.39
immediateI\[0\],68.9
immediateI\[4\],66.41
immediateI\[2\],61.35
alu_data_in2\[9\],57.73
alu_data_in2\[10\],54.19
_006_,50.58
_000_,49.82
ram_data_in\[10\],48.37
_047_,43.78
immediateS\[11\],42.17
_075_,27.56
data_in[4],21.46
immediateI\[9\],16.43
alu_data_in2\[3\],16.33
data_in[20],15.16
data_in[1],12.72
data_in[5],12.72
count[11],12.62
count[4],12.62
data_in[27],11.95
data_in[0],11.27
data_in[12],11.27
data_in[10],11.02
data_in[25],11.02
data_in[22],10.93
data_in[24],10.93
data_in[30],10.93
reset,10.93
data_in[15],10.88
data_in[17],10.88
data_in[26],10.88
data_in[6],10.88
data_in[14],10.42
count[1],10.32
count[3],10.32
data_in[31],9.18
count[8],8.96
data_in[11],8.72
data_in[23],8.72
data_in[7],8.72
count[2],8.51
data_in[28],8.38
data_in[29],8.38
data_in[8],6.43
count[9],6.21
data_in[21],6.09
data_in[16],5.97
data_in[3],5.97
count[10],5.53
count[5],5.53
count[0],5.07
count[7],5.07
data_in[13],4.95
count[6],4.73
data_in[18],3.93
data_in[19],3.93
data_in[2],3.93
data_in[9],3.93
