net,length_um
_0762_,33.74
_0130_,33.67
_0350_,33.625
_0772_,33.56
_0767_,33.54
_0206_,33.1
_1080_,33.06
_0773_,32.825
_0719_,32.82
_0021_,32.62
_0119_,32.16
_0676_,32.15
_0089_,32.14
_0029_,32.06
_0885_,32.04
_1001_,31.96
_0784_,31.86
_1083_,31.84
_0961_,31.82
_1081_,31.68
_0969_,31.58
_0839_,31.48
_0914_,31.48
_0716_,31.46
_0781_,31.38
_0036_,31.25
_0904_,31.19
_0979_,30.79
_1003_,30.76
_0534_,30.34
_0409_,30.32
net91,30.1
_0576_,30.08
_0893_,30
_0017_,29.74
net83,29.74
_0175_,29.54
_0416_,29.54
_0761_,29.52
_0060_,29.51
_0204_,29.42
_0713_,29.36
_0741_,29.3
_0635_,29.2
_0821_,29.2
_0902_,29.08
_0214_,28.96
_1140_,28.54
_0193_,28.5
_0173_,28.41
_1028_,28.38
_0302_,28.36
_0322_,28.28
_0091_,28.245
_0876_,28.18
_0900_,28.14
data_in2[0],28.11
_0540_,28.02
_0478_,27.94
_0984_,27.94
_0824_,27.82
_0410_,27.8
_0486_,27.54
_0778_,27.4
_0927_,27.34
_0338_,27.3
_0542_,27
_0663_,27
_0407_,26.9
_0381_,26.86
_1034_,26.82
_0798_,26.66
_0841_,26.52
_0234_,26.42
_0962_,26.4
_0814_,26.08
_0870_,25.96
_0789_,25.725
_0248_,25.62
_0890_,25.52
_0793_,25.47
_0382_,25.4
_0455_,25.34
_0671_,25.32
_1056_,25.26
data_in2[16],25.15
_0434_,25.125
_0128_,25.1
_0764_,25.1
_0261_,25.04
_0855_,24.94
_1111_,24.94
_0740_,24.84
_1086_,24.84
_0680_,24.74
_1005_,24.74
_0028_,24.7
_0068_,24.7
_0683_,24.5
_1000_,24.46
_1132_,24.42
_0044_,24.34
_1130_,24.18
_1063_,24.12
_0080_,24
_1077_,24
_0623_,23.98
_0012_,23.64
_0373_,23.64
_0058_,23.44
_0632_,23.32
_0976_,23.2
_1112_,23.04
_0956_,23.03
_0559_,22.74
_1085_,22.72
_0726_,22.62
_0030_,22.575
_0715_,22.5
_0535_,22.48
_0024_,22.4
_0265_,22.12
_0294_,22.04
_0127_,21.96
_0470_,21.96
_0977_,21.92
_0318_,21.82
_0111_,21.78
_0710_,21.68
_0250_,21.66
_0916_,21.62
_0948_,21.6
_0765_,21.38
_0911_,21.345
_0094_,21.335
_0337_,21.18
_0238_,21.02
net116,21.02
_0397_,21
_1064_,20.88
_0366_,20.8
data_out[23],20.78
_0760_,20.74
_0011_,20.68
_0820_,20.68
net121,20.66
_0142_,20.58
_0861_,20.54
_0138_,20.42
_0491_,20.36
_0431_,20.32
_0756_,20.17
_1129_,19.9
_0818_,19.86
_0942_,19.86
_1128_,19.84
_0408_,19.66
_0843_,19.48
_0970_,19.46
_0804_,19.34
_0282_,19.28
_0786_,19.2
_0262_,19.16
_0971_,19.12
_0816_,19.05
_0702_,19.035
_0222_,19.02
_0718_,18.99
_1053_,18.84
_0852_,18.64
_1006_,18.64
_0063_,18.62
data_in1[3],18.55
_0223_,18.5
_0045_,18.46
_0148_,18.44
_0782_,18.44
_0375_,18.4
_0704_,18.4
_0312_,18.28
_1049_,18.24
_0629_,18.12
data_out[13],18.12
