net,length_um
_09006_,2552.545
_09281_,2547.72
_09675_,2546.9
_11111_,2546.03
_08377_,2543.835
_08443_,2541.77
_08574_,2540.81
_16754_,2540.75
_10813_,2539.59
_08379_,2536.4
_11194_,2535.905
_09317_,2533.425
_09089_,2532.9
_10189_,2530.28
_09245_,2528.02
_09115_,2527.63
_09363_,2523.97
_11077_,2523.165
_08359_,2522.91
_10678_,2520.78
_08884_,2519.8
_08420_,2519.39
_08329_,2516.48
_08593_,2516.34
_08893_,2511.27
_08816_,2506.41
_09427_,2505.35
_09329_,2503.17
_09818_,2502.74
_11215_,2502.105
_10278_,2500.59
_09457_,2499.69
_10555_,2497.24
_09030_,2496.92
_09326_,2496.75
_08938_,2495.145
_08929_,2494.395
_09073_,2494.045
_10218_,2490.62
_08985_,2490.005
_08324_,2489.78
_17144_,2488.78
_10874_,2488.495
_09345_,2487.16
_09663_,2486.2
_09580_,2485.385
_08924_,2484.22
_09013_,2482.51
_16673_,2482.47
_08842_,2481.95
_10608_,2479.07
_08792_,2477.33
_10842_,2476.445
_09441_,2475.86
_09553_,2475.795
_08398_,2475.29
_09283_,2475.22
_08307_,2472.785
_08857_,2471.785
_09043_,2470.275
_08860_,2468.98
_16736_,2468.87
_08870_,2467.94
_09116_,2466.53
_09595_,2462.875
_09487_,2462.255
_10226_,2461.49
_10377_,2460.58
_08531_,2460.57
_08726_,2460.52
_08473_,2457.56
_08541_,2457.56
_09288_,2457.455
_09483_,2457.36
_09271_,2456.69
_08652_,2456.26
_08668_,2455.885
_08387_,2455.81
_09644_,2455.065
_09131_,2449.24
_09642_,2449.115
_10280_,2448.72
_08567_,2445.41
_09955_,2444.425
_16664_,2444.215
_08900_,2443.055
_08946_,2442.365
_09547_,2440.88
_09074_,2440.82
_08499_,2440.26
_08362_,2438.36
_08667_,2437.27
_08261_,2437.09
_09193_,2435.76
_09028_,2433.89
_10139_,2433.165
_08474_,2432.78
_09477_,2432.58
_09959_,2432.205
_08771_,2431.99
_11500_,2429.59
_17099_,2429.15
_16679_,2427.67
_09385_,2426.155
_08819_,2423.245
_09024_,2422.95
_08806_,2422.325
_09002_,2422.2
_08989_,2421.125
_17101_,2420.57
_08965_,2420.1
_09273_,2420.025
_09494_,2417.96
_08293_,2417.67
_09498_,2416.48
_09775_,2412.825
_09503_,2410.21
_09986_,2404.21
_09479_,2401.99
_10260_,2401.51
_10637_,2400.86
_17103_,2399.385
_08501_,2399.185
_08404_,2397.98
_10657_,2396.7
_08958_,2395.005
_08742_,2393.745
_09910_,2392.51
_08301_,2390.285
_08485_,2389.31
_08905_,2387.645
_08787_,2384.12
_09480_,2383.6
_08584_,2383.255
_08710_,2381.085
_08907_,2380.55
_16742_,2380.28
_08535_,2378.03
_09003_,2377.88
_08879_,2377.33
_09209_,2377.01
_09085_,2376.96
_09407_,2376.32
_09820_,2374.56
_09109_,2373.355
_08794_,2368.56
_08932_,2367.33
_09724_,2366.685
_08719_,2364.42
_09940_,2363.17
_10110_,2363.06
_08317_,2360.46
_08712_,2358.75
_10264_,2358.59
_09167_,2358.375
_08827_,2357.72
_10914_,2357.4
_08846_,2356.46
_10732_,2356.14
_11336_,2353.09
_09451_,2352.63
_08507_,2347.63
_08767_,2346.64
_08918_,2345.48
_08298_,2344.315
_09128_,2342.18
_09604_,2341.87
_08262_,2340.42
_16745_,2337.1
_09243_,2335.58
_09048_,2334.4
_08403_,2333.62
_08784_,2333.12
_10653_,2332.765
_09200_,2330.83
_08302_,2327.37
_10121_,2326.815
_08822_,2325.49
_17152_,2324.85
_08496_,2324.83
_09592_,2319.73
_08263_,2318.515
_10600_,2315.99
_08504_,2314.67
_08321_,2309.18
_17105_,2307.16
_09546_,2306.19
_09224_,2305.85
_09504_,2305.55
_08978_,2305.14
_10219_,2304.57
_08376_,2303.045
