net,length_um
_3414_,274.66
_2968_,274.38
net63,273.8
_2720_,273.32
_1250_,273.29
net78,273.22
_2496_,272.4
_3443_,272.38
_3230_,272.2
_2766_,269.39
_3444_,269.19
_3275_,268.3
_1354_,267.85
_1431_,267.32
_1173_,267.13
_3428_,266.46
_2779_,265.93
net1,265.24
_3065_,265.02
_1156_,264.78
_1876_,263.97
net52,263.66
_1245_,262.99
_3229_,262.11
_1349_,261.77
_1254_,260.42
_2678_,260.07
_1430_,259.45
_2632_,259.26
net58,259.08
_3377_,258.56
_3430_,258.47
_2675_,257.79
net46,257.74
_1483_,257.51
_3053_,257.51
net82,256.46
_1878_,255.96
_2516_,255.48
_2811_,255.2
_3291_,255.14
_1479_,254.5
_1353_,252.56
_3376_,252.02
net60,251.42
_2494_,251.31
_3386_,251.31
_2803_,250.81
_1426_,250.32
_1808_,248.7
net59,246.2
_2981_,245.73
_1427_,245.44
_3333_,244.21
_2721_,244.17
_2630_,244.12
_2584_,243.49
_2817_,243.3
net80,243.2
_1350_,243.03
_1826_,241.71
_3213_,241.28
net105,241.18
_2704_,241.08
_2816_,240.74
net53,240.54
_3231_,239.5
_1815_,238.9
net102,238.08
net62,237.89
net8,237.38
net55,237.28
_2495_,237.22
_2539_,235.77
_2946_,235.44
_2513_,235.06
_1811_,234.94
_1813_,234.94
clknet_4_2_0_clk,234.28
_3051_,234.14
_2653_,234.03
net37,233.46
net83,233.03
clknet_4_13_0_clk,231.89
_2629_,231.14
_2106_,230.08
_2994_,229.975
_2689_,229.96
net31,229.79
_1797_,229.765
_2933_,229.62
_3379_,229.62
clknet_4_8_0_clk,228.97
_2916_,228.06
_3047_,227.58
_2104_,227.52
_2915_,226.26
net84,225.34
_2867_,223.58
_2934_,223.47
net26,223.38
_2761_,223.34
net77,223.31
_2913_,223.21
_2688_,221.52
_2947_,221.51
net20,221.47
_1313_,220.64
_3429_,220.55
_2771_,219.47
clknet_4_1_0_clk,218.66
net7,218.46
_2749_,218.41
net56,217.58
net51,216.96
_2769_,216.92
_3339_,216.72
net104,216.7
net79,216.22
_1801_,216.09
_2707_,215.32
net113,215.28
_2751_,215.27
_2780_,215.05
_3078_,214.98
_2693_,214.7
_2914_,214.01
net3,214
net48,213.86
_2464_,213.78
net40,213.13
_2497_,212.79
_2990_,212.74
_2762_,212.46
_2066_,212.34
_3295_,211.71
_2500_,211.02
_2477_,210.83
_2770_,210.29
_1312_,209.88
_2038_,208.5
_3232_,208.41
_2745_,207.79
clknet_4_7_0_clk,207.72
_3413_,207.53
_2560_,207.37
_3442_,206.85
_3052_,206.56
net64,206.12
_2525_,206.06
net94,205.8
_3373_,205.28
_3383_,205.27
_2530_,204.98
_1593_,204.63
_2556_,204.63
_3022_,204.61
_2758_,204.34
_3433_,203.98
_2772_,203.94
net21,203.83
_2764_,203.76
net106,203.62
_3066_,203.48
net73,203.06
_1606_,202.72
_3441_,202.7
_2655_,202.62
clknet_4_12_0_clk,202.4
_3104_,202.2
_3438_,201.92
_2540_,201.9
clknet_4_9_0_clk,201.555
_3431_,201.28
net65,200.7
_3184_,200.65
_2498_,200.13
_3324_,200.04
_3382_,200.01
clknet_4_6_0_clk,199.93
_2804_,199.86
_2742_,199.84
_3294_,199.735
_2557_,198.9
_3435_,198.71
_1398_,197.75
net89,197.6
_1827_,197.02
_2782_,196.69
_2465_,196.65
net98,196.59
_2609_,196.53
